ID_Livro,Título,Autor,Ano,Gênero,Disponível
1,Duna,Frank Herbert,1965,Ficção Científica e Fantasia,Sim
2,1984,George Orwell,1949,Ficção Científica e Fantasia,Sim
3,O Senhor dos Anéis: A Sociedade do Anel,J.R.R. Tolkien,1954,Ficção Científica e Fantasia,Sim
4,Fundação,Isaac Asimov,1951,Ficção Científica e Fantasia,Sim
5,Neuromancer,William Gibson,1984,Ficção Científica e Fantasia,Sim
6,Admirável Mundo Novo,Aldous Huxley,1932,Ficção Científica e Fantasia,Sim
7,A Mão Esquerda da Escuridão,Ursula K. Le Guin,1969,Ficção Científica e Fantasia,Sim
8,O Guia do Mochileiro das Galáxias,Douglas Adams,1979,Ficção Científica e Fantasia,Sim
9,O Nome do Vento,Patrick Rothfuss,2007,Ficção Científica e Fantasia,Sim
10,Contato,Carl Sagan,1985,Ficção Científica e Fantasia,Sim
11,IT: A Coisa,Stephen King,1986,"Thriller, Suspense e Terror",Sim
12,O Exorcista,William Peter Blatty,1971,"Thriller, Suspense e Terror",Sim
13,O Iluminado,Stephen King,1977,"Thriller, Suspense e Terror",Sim
14,O Silêncio dos Inocentes,Thomas Harris,1988,"Thriller, Suspense e Terror",Sim
15,Drácula,Bram Stoker,1897,"Thriller, Suspense e Terror",Sim
16,O Cemitério,Stephen King,1983,"Thriller, Suspense e Terror",Sim
17,A Garota no Trem,Paula Hawkins,2015,"Thriller, Suspense e Terror",Sim
18,Gone Girl (Garota Exemplar),Gillian Flynn,2012,"Thriller, Suspense e Terror",Sim
19,A Paciente Silenciosa,Alex Michaelides,2019,"Thriller, Suspense e Terror",Sim
20,Caixa de Pássaros,Josh Malerman,2014,"Thriller, Suspense e Terror",Sim
21,Cem Anos de Solidão,Gabriel García Márquez,1967,Literatura,Sim
22,O Sol é para Todos,Harper Lee,1960,Literatura,Sim
23,O Grande Gatsby,F. Scott Fitzgerald,1925,Literatura,Sim
24,Orgulho e Preconceito,Jane Austen,1813,Literatura,Sim
25,Crime e Castigo,Fiódor Dostoiévski,1866,Literatura,Sim
26,Moby Dick,Herman Melville,1851,Literatura,Sim
27,Dom Casmurro,Machado de Assis,1899,Literatura,Sim
28,As Vinhas da Ira,John Steinbeck,1939,Literatura,Sim
29,O Estrangeiro,Albert Camus,1942,Literatura,Sim
30,Vidas Secas,Graciliano Ramos,1938,Literatura,Sim
31,Sapiens: Uma Breve História da Humanidade,Yuval Noah Harari,2011,História,Sim
32,Escravidão,Laurentino Gomes,2019,História,Sim
33,Raízes do Brasil,Sérgio Buarque de Holanda,1936,História,Sim
34,Holocausto: Uma História,Deborah Dwork,2001,História,Sim
35,Brasil: Uma Biografia,Lilia Moritz Schwarcz,2015,História,Sim
36,O Capital,Karl Marx,1867,História,Sim
37,O Príncipe,Nicolau Maquiavel,1532,História,Sim
38,A Arte da Guerra,Sun Tzu,Século V a.C.,História,Sim
39,Círculo de Fogo,Bernard Cornwell,1993,História,Sim
40,A Revolução Francesa,Thomas Carlyle,1837,História,Sim
41,Steve Jobs: A Biografia,Walter Isaacson,2011,Biografia e Memórias,Sim
42,Longo Caminho Para a Liberdade,Nelson Mandela,1994,Biografia e Memórias,Sim
43,Eu Sou Malala,Malala Yousafzai,2013,Biografia e Memórias,Sim
44,O Diário de Anne Frank,Anne Frank,1947,Biografia e Memórias,Sim
45,Mindhunter,John Douglas,1995,Biografia e Memórias,Sim
46,Elon Musk,Ashlee Vance,2015,Biografia e Memórias,Sim
47,Cinderela Chinesa,Adeline Yen Mah,1999,Biografia e Memórias,Sim
48,Confissões,Santo Agostinho,400,Biografia e Memórias,Sim
49,A Bailarina de Auschwitz,Edith Eger,2017,Biografia e Memórias,Sim
50,Uma Terra Prometida,Barack Obama,2020,Biografia e Memórias,Sim
51,O Poder do Hábito,Charles Duhigg,2012,Autoajuda e Ciência,Sim
52,Uma Breve História do Tempo,Stephen Hawking,1988,Autoajuda e Ciência,Sim
53,Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,1936,Autoajuda e Ciência,Sim
54,Cosmos,Carl Sagan,1980,Autoajuda e Ciência,Sim
55,Quiet: O Poder dos Quietos,Susan Cain,2012,Autoajuda e Ciência,Sim
56,A Sutil Arte de Ligar o F*da-se,Mark Manson,2016,Autoajuda e Ciência,Sim
